system_call,frequency,file_frequency
restart_syscallioctl,3236,2767
mprotectbrk,276491,8286
closemprotect,101861,7544
sched_setschedulergetpriority,722472,8328
madviseclose,220798,8282
restart_syscallrecvmsg,8102,8081
futexgetpid,620060,7976
getpidwritev,12330,3112
ioctlrestart_syscall,4961,4537
writevkill,1683,1518
openioctl,893952,8045
ioctlioctl,18211746,8368
ioctlsched_setscheduler,642230,8317
recvmsgrt_sigtimedwait,8410,8294
brkfutex,157834,8162
brkbrk,2112791,8295
ioctlopen,85820,5785
clock_gettimesched_setscheduler,705264,8328
ioctlmadvise,330126,8172
futexfutex,131701174,8369
rt_sigtimedwaitrestart_syscall,5630,5585
futexrestart_syscall,41557,8180
sched_setschedulerioctl,806095,8336
getpriorityclock_gettime,635050,8318
restart_syscallfutex,37374,4975
futexread,2149872,7025
munmapsigprocmask,553829,7982
brkclose,14435,3944
gettimeofdayioctl,467996,6776
setsockoptclock_gettime,113227,4794
recvfromclose,64554,5083
clock_gettimeclose,396898,7454
munmapbrk,16605,4774
ioctlgettid,35178,4719
futexdup,20907,5882
getpidioctl,231511,7359
gettimeofdaywritev,376639,5912
recvfromclock_gettime,23299355,7768
munmapmprotect,205936,8007
bindgetsockname,83135,5339
gettimeofdayrecvfrom,1536569,4909
madvisesigaltstack,425538,7433
getsocknamegettimeofday,39844,3949
readread,11192673,6612
gettimeofdayread,370857,5285
clock_gettimesendto,9965286,7310
getpidclose,254921,7607
getpidopen,68828,6218
clock_gettimeset_thread_area,17929,4394
writeread,952587,6764
readmadvise,185607,7693
openread,3860843,7857
madviseprctl,1236588,5832
mprotectgettimeofday,346909,7313
gettimeofdaygettimeofday,77750917,6846
socketclock_gettime,39593,4083
ioctlgetpid,2978565,8178
socketioctl,77176,4349
getpidsigaltstack,981,713
ioctlclock_gettime,10321269,8147
gettimeofdaychmod,41666,3304
clock_gettimeclock_gettime,426675379,8171
mprotectsocket,12282,4343
ioctlread,341166,7170
brkioctl,26634,6426
clock_gettimesocket,437314,6130
writesched_setscheduler,40523,6463
sigprocmaskioctl,59046,6603
clock_gettimegetpid,32670000,8052
closesigprocmask,67049,7032
munmapread,13444,2836
ioctlfutex,653923,8183
sigprocmaskwrite,35542,3151
sigprocmaskmunmap,372406,7911
pollclock_gettime,21124,3061
mprotectepoll_ctl,7314,4058
ioctldup,730891,7766
sigprocmaskgetpid,10458,4141
closerecvfrom,44570,4233
closesocket,70923,4222
epoll_waitrecvfrom,5781614,7710
dupgetpriority,11326,4818
clock_gettimebrk,219419,7693
getpriorityclose,7720,4190
mprotectsendto,72122,7220
madvisebrk,76654,7899
munmapepoll_wait,7514,2432
gettimeofdaysigprocmask,92757,5346
umaskclose,634644,3565
brkgettimeofday,260885,5829
gettidbrk,18976,4016
writevmunmap,40055,5793
mprotectmprotect,8782096,8156
madvisemprotect,757690,8053
_exitsigprocmask,4019,2148
getprioritysigaltstack,109,105
chmodgettimeofday,42173,3568
writesendto,27003,5112
mprotectgetpid,92056,7310
closefutex,195655,6865
closeopen,3373522,6152
ioctlwrite,120108,6800
socketsetsockopt,124698,5884
gettimeofdayopen,584230,6061
writevrecvfrom,461717,6700
clock_gettimeepoll_wait,44982110,7948
readclose,4019499,6862
clock_gettimesetsockopt,56092,4056
epoll_waitmadvise,78325,6278
closeclock_gettime,1811386,7863
brkmadvise,134372,7640
ioctlbrk,34370,6969
sigaltstacksendto,157,140
futexsched_setscheduler,131806,8059
clock_gettimesigaltstack,11222,3262
closegetpid,401241,7346
epoll_waitread,3241323,7715
accessumask,719430,3568
dupsched_setscheduler,7941,4230
umaskopen,771643,3576
nanosleepsigprocmask,1757,1192
recvfromgetpriority,2425,1634
munmapgetpid,12761,3254
openclose,150539,6096
clock_gettimewrite,25627016,8024
mprotectioctl,328996,8059
ioctlclose,137122,7409
clock_gettimemprotect,1449298,8122
sched_setscheduler_exit,686,276
epoll_waitmprotect,94362,6906
closeclose,1111174,7004
gettimeofdaybrk,311419,7097
munmapgettimeofday,175924,5137
writeioctl,1925109,7802
getpidmprotect,46767,6728
ioctlsigprocmask,133512,7144
ioctlgetpriority,24410,6232
getpriorityfutex,36187,6551
mprotectsigprocmask,1083449,7869
clock_gettimemadvise,659000,7995
pollmadvise,1228,701
ioctlrecvfrom,1059812,7327
pollaccess,472,317
